loss,make_id_loss,model_id_loss,make_id_accuracy,model_id_accuracy,val_loss,val_make_id_loss,val_model_id_loss,val_make_id_accuracy,val_model_id_accuracy,lr
14.07639599,5.119672298,7.454027176,0.005537015,0.000628467,36.83543015,18.98964882,16.34315109,0.003483073,0.000488281,1.00E-06
12.35722065,4.258349895,7.105806828,0.067484401,0.00378164,12.79036236,4.704337597,7.453645229,0.131477877,0.012402344,0.0166675
9.533340454,3.435125828,5.696575642,0.184498534,0.030935768,9.597730637,3.561470509,5.726549149,0.170638025,0.037988283,0.033333998
7.975815773,2.899535418,4.705914021,0.284500688,0.082123354,8.064902306,2.988118887,4.635034084,0.296516955,0.09996745,0.0500005
7.277689457,2.56911087,4.135101318,0.356330186,0.1346654,9.006984711,3.307822943,5.036539078,0.265136719,0.102311201,0.066666998
6.195914268,2.110785007,3.389690638,0.455617219,0.220938802,6.580434799,2.293005943,3.547060251,0.431477875,0.21998699,0.060653064
5.34152317,1.763699055,2.830741167,0.531672597,0.30370146,5.316458225,1.79230392,2.755154848,0.531347692,0.332649767,0.054881163
4.62900877,1.47591579,2.391953707,0.600825667,0.379984409,4.052506924,1.252002597,2.035895586,0.656835973,0.45631513,0.049658529
4.025727272,1.236640334,2.039004803,0.661505282,0.451109588,4.106474876,1.304808855,2.0501194,0.659537792,0.465429723,0.044932898
3.518440008,1.037771821,1.757772803,0.710839987,0.511897564,3.536195517,1.091982126,1.733334064,0.711360693,0.534667969,0.040656965
3.056856871,0.866085708,1.507997394,0.756057143,0.569781601,2.796492338,0.790466666,1.336780667,0.787727892,0.622395873,0.036787946
2.683629274,0.727577209,1.314926505,0.791446388,0.613059163,2.599081755,0.72453934,1.246796489,0.808235705,0.645703137,0.033287108
2.361610889,0.617479205,1.144670129,0.821742833,0.657322764,2.362313271,0.654179096,1.124510169,0.828938842,0.679654956,0.030119421
2.081135035,0.517387867,1.006857514,0.849742115,0.692050993,2.118013382,0.579280078,0.998126566,0.846354187,0.707421899,0.027253179
1.834509134,0.439954489,0.877900183,0.87013483,0.726670861,1.929775119,0.512648106,0.916489899,0.868912816,0.734016955,0.024659697
1.625066638,0.370433301,0.775594831,0.888696313,0.754724383,1.736088753,0.441268384,0.831419528,0.886230528,0.759798229,0.022313016
1.439235091,0.312515199,0.682751834,0.905989945,0.780935764,1.614915609,0.428403497,0.758589804,0.892806053,0.783235729,0.020189652
1.306842327,0.275797874,0.617149532,0.916587234,0.800765038,1.571317315,0.434869558,0.736645103,0.89309901,0.790625036,0.018268352
1.165132642,0.233500257,0.546738327,0.929644167,0.822197914,1.390394688,0.355078965,0.662314236,0.912402391,0.809114635,0.016529888
1.060937881,0.205975458,0.495768785,0.937651753,0.83796382,1.307959557,0.341042191,0.619133472,0.917871118,0.822721422,0.014956862
0.910128415,0.16872704,0.421445638,0.948270679,0.860155225,1.254116416,0.332857698,0.605430782,0.921582103,0.829915404,0.013533528
0.841161668,0.148683146,0.386207879,0.954208612,0.871922731,1.198631644,0.320692122,0.580029845,0.924837291,0.838216186,0.012245643
0.784184039,0.135595635,0.3583242,0.958477855,0.880807936,1.215580821,0.339666307,0.593153417,0.923112035,0.840983093,0.011080316
0.726270497,0.1244113,0.32779327,0.962346137,0.89045167,1.090351105,0.289547175,0.534414828,0.932779968,0.85172528,0.010025884
0.675920069,0.111620925,0.304515213,0.96585691,0.898578405,1.06801784,0.288012475,0.526530445,0.93535161,0.857421935,0.009071795
0.633182526,0.10344106,0.282425523,0.968045712,0.905578196,1.062794685,0.292011529,0.529217839,0.934537828,0.859016955,0.0082085
0.598636806,0.096610717,0.266208768,0.970982194,0.911808729,1.01803875,0.275251806,0.512229741,0.938411534,0.862532616,0.007427358
0.559383154,0.085059628,0.248325557,0.973929465,0.916749775,1.009988785,0.27986595,0.509143233,0.940299511,0.86735028,0.006720551
0.537188172,0.08275418,0.23777476,0.975186408,0.920358062,1.00325942,0.28183049,0.508682787,0.939322948,0.868001342,0.006081006
0.514253616,0.077165268,0.2279035,0.976757586,0.924724817,0.963289738,0.270910859,0.486772299,0.944238305,0.874934912,0.005502322
0.485148758,0.071561292,0.211636856,0.978307068,0.929817557,0.937922299,0.26178503,0.477545261,0.94531256,0.875846386,0.004978707
0.465390712,0.067767389,0.202070728,0.979726553,0.932905734,0.935770929,0.263381213,0.479642898,0.943489611,0.875944078,0.00450492
0.447692901,0.065775819,0.19178538,0.980116606,0.937229156,0.929685175,0.26198858,0.480125815,0.945540428,0.879036486,0.004076221
0.434193522,0.062010333,0.186980471,0.981980383,0.938529432,0.900510907,0.255236596,0.462176383,0.947688878,0.881640673,0.003688317
0.419897437,0.0589412,0.179848284,0.982186258,0.941498399,0.981114984,0.28990069,0.512104392,0.943489611,0.878873765,0.003337327
0.41068688,0.056663495,0.176970735,0.982717156,0.941769302,0.892952979,0.253338426,0.464543015,0.946875036,0.884114623,0.003019738
0.401005149,0.055625845,0.17200397,0.983714044,0.944413185,0.883908868,0.252385139,0.459857523,0.947884142,0.883235753,0.002732372
0.390304655,0.053825691,0.166451991,0.984472573,0.946623623,0.886527717,0.252888054,0.465093732,0.947981834,0.88369143,0.002472353
0.378151029,0.049905818,0.161043748,0.985599458,0.948075593,0.884167731,0.254539251,0.463849336,0.947330773,0.885091186,0.002237077
0.373508304,0.049312599,0.159499973,0.986097872,0.948649883,0.869320869,0.247298867,0.45838666,0.949316442,0.886295617,0.002024191
